,Name,Address,Rating,types,keyword
0,Holy Rosary Church,"520 Stevens Street, Indianapolis",4.8,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",church
1,Roberts Park Methodist Church,"401 North Delaware Street, Indianapolis",4.1,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
2,Saint Mary Catholic Church,"317 North New Jersey Street, Indianapolis",4.7,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",church
3,Saint John the Evangelist,"126 West Georgia Street, Indianapolis",4.8,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",church
4,Sacred Heart Catholic Church,"1530 Union Street, Indianapolis",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
5,Mount Vernon Community Missionary Baptist Church,"709 North Belmont Avenue, Indianapolis",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
6,Traders Point Christian Church Downtown,"1201 North Delaware Street, Indianapolis",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
7,Saints Peter and Paul Cathedral,"1347 North Meridian Street, Indianapolis",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
8,Bethel Tabernacle Apostolic,"2002 Doctor Andrew J Brown Avenue, Indianapolis",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
9,Friendship Missionary Baptist Church,"1301 North Goodlet Avenue, Indianapolis",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
10,Redeemer Presbyterian Church,"1505 North Delaware Street, Indianapolis",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
11,Calvary Tabernacle,"902 Fletcher Avenue, Indianapolis",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
12,Jubilee Full Gospel Chrurch,"1006 Laurel Street, Indianapolis",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
13,The Salvation Army - Fountain Square,"1337 Shelby Street, Indianapolis",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
14,Iglesia Cristiana Westside,"1802 West Washington Street, Indianapolis",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
15,Church of the Living God,"901 North Belleview Place, Indianapolis",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",church
